source,target,out_provider,in_provider,weight
RK9,RAX,PLYMOUTH HOSPITALS NHS TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,1
RTF,RVV,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3
RBK,RAX,WALSALL HEALTHCARE NHS TRUST,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,6
R1H,RTR,BARTS HEALTH NHS TRUST,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1
RN3,RAL,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,2
RXL,RXN,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,497
RMC,RM3,BOLTON NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,125
RWE,RNS,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,130
RXR,RXN,EAST LANCASHIRE HOSPITALS NHS TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,346
RNA,RRK,THE DUDLEY GROUP NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4070
RDU,RTK,FRIMLEY HEALTH NHS FOUNDATION TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,302
RA2,RHM,ROYAL SURREY NHS FOUNDATION TRUST,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2
RJ1,RRV,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,11
RDU,RHW,FRIMLEY HEALTH NHS FOUNDATION TRUST,ROYAL BERKSHIRE NHS FOUNDATION TRUST,8
RM1,RKB,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,10
RWD,RKB,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,25
RK5,RR8,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,2
RLQ,RGT,WYE VALLEY NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2
RF4,RTD,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1
RCU,RCB,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,4
RJE,RKB,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,59
RCF,RCU,AIREDALE NHS FOUNDATION TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,17
RBK,RRK,WALSALL HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2636
RBK,RWE,WALSALL HEALTHCARE NHS TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,6
RJR,RXN,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1
RWE,RGT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,47
RNS,RGP,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RPA,RJ2,MEDWAY NHS FOUNDATION TRUST,LEWISHAM AND GREENWICH NHS TRUST,3
RD1,RK9,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,4
RRF,RTD,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2
RGT,RJZ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,52
RJE,RR8,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,3
RC9,RWF,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2
RYJ,RNZ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,SALISBURY NHS FOUNDATION TRUST,12
RNQ,RGN,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,2
RXW,RWJ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,STOCKPORT NHS FOUNDATION TRUST,2
RNN,RBN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,1
RA7,RJZ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,9
RJ6,RTK,CROYDON HEALTH SERVICES NHS TRUST,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST,1
R1K,RAS,LONDON NORTH WEST HEALTHCARE NHS TRUST,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,460
RHQ,RFR,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,671
RP5,RFR,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,164
RJE,R0A,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,44
RJ1,RYR,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,37
RA2,RTP,ROYAL SURREY NHS FOUNDATION TRUST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,121
RL4,RKB,THE ROYAL WOLVERHAMPTON NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,35
RJZ,RWG,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,2
RNN,RR8,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,2
REF,RM3,ROYAL CORNWALL HOSPITALS NHS TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1
RR8,RVJ,LEEDS TEACHING HOSPITALS NHS TRUST,NORTH BRISTOL NHS TRUST,9
RCB,RMC,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,BOLTON NHS FOUNDATION TRUST,2
RLT,RX1,GEORGE ELIOT HOSPITAL NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3
RTP,RDU,SURREY AND SUSSEX HEALTHCARE NHS TRUST,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,4
RWD,RTR,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1
RX1,RJE,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,5
RDU,RJ7,FRIMLEY HEALTH NHS FOUNDATION TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,966
RWP,RLQ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,WYE VALLEY NHS TRUST,77
RN3,RTE,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,83
RKE,R1H,THE WHITTINGTON HOSPITAL NHS TRUST,BARTS HEALTH NHS TRUST,95
RC9,RAJ,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,19
RGN,RNQ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8
RYJ,RJ7,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,47
R0B,RNN,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,32
RNS,RHQ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,57
RHQ,R0A,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,117
RH5,RAL,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,2
RD1,RAL,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,1
RWJ,RFF,STOCKPORT NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,4
RWW,RXN,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1
RXW,RCU,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,1
RHQ,RRK,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,135
RXW,RD8,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1
RJE,RXP,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1
RHU,RJZ,PORTSMOUTH HOSPITALS NHS TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,31
RTG,RTH,DERBY HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3
RRK,RBL,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1
RAE,RFF,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,15
RD1,RH8,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,15
RXF,RX1,MID YORKSHIRE TEACHING NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,5
RAJ,RGP,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1
RAE,RTR,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1
RJN,RMC,EAST CHESHIRE NHS TRUST,BOLTON NHS FOUNDATION TRUST,2
RQ3,RQM,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1
RA2,RA7,ROYAL SURREY NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1
RBK,RX1,WALSALL HEALTHCARE NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,12
RYR,RXC,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,EAST SUSSEX HEALTHCARE NHS TRUST,121
RJ1,RN5,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,43
RWG,RRV,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,206
RAS,RYJ,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,287
RXR,RM3,EAST LANCASHIRE HOSPITALS NHS TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,15
RGP,RA7,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1
RHW,RJL,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
RCX,RJ1,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,93
R0D,RXF,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,MID YORKSHIRE HOSPITALS NHS TRUST,1
RXP,RR7,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,GATESHEAD HEALTH NHS FOUNDATION TRUST,129
RXN,RFS,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1
RX1,RK5,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,202
RR8,R0A,LEEDS TEACHING HOSPITALS NHS TRUST,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,151
RWJ,RJE,STOCKPORT NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,26
RGT,RWG,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,15
RA7,RTE,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,147
RJL,RWY,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,21
RF4,RQM,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,7
R0D,RL4,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,1
RGN,RK9,NORTH WEST ANGLIA NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1
RVY,RXN,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,9
RRV,RN3,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1
RQ3,RJZ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2
RNN,RGR,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,WEST SUFFOLK NHS FOUNDATION TRUST,1
R0D,RTF,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,1
R1H,RWH,BARTS HEALTH NHS TRUST,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,32
RXP,RFS,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1
RJE,RWE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,6
RJZ,RRK,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,22
RNQ,RWD,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3
RHM,RD8,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,8
RJ7,RPA,ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST,MEDWAY NHS FOUNDATION TRUST,7
RWD,RWA,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,108
RAE,RHQ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,300
R1H,RA9,BARTS HEALTH NHS TRUST,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1
RLQ,RTH,WYE VALLEY NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,2
RTE,RK9,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2
RBK,RBT,WALSALL HEALTHCARE NHS TRUST,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1
RYJ,RAE,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1
RJ1,RJ2,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,LEWISHAM AND GREENWICH NHS TRUST,228
RRK,RKB,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,631
RKB,RNQ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,33
RK9,RA9,PLYMOUTH HOSPITALS NHS TRUST,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,128
RYR,RRV,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,9
RJL,RM3,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,3
RWH,RC9,EAST AND NORTH HERTFORDSHIRE NHS TRUST,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,18
RL4,RWE,THE ROYAL WOLVERHAMPTON NHS TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,8
R1K,RTH,LONDON NORTH WEST HEALTHCARE NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,2
RYJ,RXQ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,14
RJ1,RQX,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,6
RCX,RJL,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1
REF,RTE,ROYAL CORNWALL HOSPITALS NHS TRUST,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,16
RNA,RLQ,THE DUDLEY GROUP NHS FOUNDATION TRUST,WYE VALLEY NHS TRUST,1
RM1,RAL,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ROYAL FREE LONDON NHS FOUNDATION TRUST,1
RC9,RHU,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1
RDU,RL4,FRIMLEY HEALTH NHS FOUNDATION TRUST,THE ROYAL WOLVERHAMPTON NHS TRUST,1
R0B,RTD,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,1418
RNS,RTH,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,335
RXW,RRK,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2715
R1H,RN5,BARTS HEALTH NHS TRUST,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2
RK9,RWF,PLYMOUTH HOSPITALS NHS TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,4
RTK,RA2,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1658
RBT,RWJ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,STOCKPORT NHS FOUNDATION TRUST,9
RJE,RX1,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13
RNN,RRF,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",2
RNS,RXQ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,4
REF,RYR,ROYAL CORNWALL HOSPITALS NHS TRUST,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1
RTX,RM3,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,9
RHW,RRK,ROYAL BERKSHIRE NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31
RD1,R1H,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,BARTS HEALTH NHS TRUST,4
RK9,RJC,PLYMOUTH HOSPITALS NHS TRUST,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,6
RVJ,RBD,NORTH BRISTOL NHS TRUST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3
RCX,RJ6,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",CROYDON HEALTH SERVICES NHS TRUST,2
RM3,RD1,SALFORD ROYAL NHS FOUNDATION TRUST,ROYAL UNITED HOSPITAL BATH NHS TRUST,2
RHW,RH8,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,2
RN7,RAJ,DARTFORD AND GRAVESHAM NHS TRUST,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11
RK9,RHU,PLYMOUTH HOSPITALS NHS TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,1
RJL,RJE,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3
RH8,RHU,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,2
RP5,RWE,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,3
RK9,RD1,PLYMOUTH HOSPITALS NHS TRUST,ROYAL UNITED HOSPITAL BATH NHS TRUST,3
RWD,RJ1,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,28
R0D,RXK,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1
RCB,RR8,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,LEEDS TEACHING HOSPITALS NHS TRUST,242
RMP,RRF,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",28
RGN,RCX,NORTH WEST ANGLIA NHS FOUNDATION TRUST,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",11
RWF,RJ7,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,42
RTK,RPA,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,MEDWAY NHS FOUNDATION TRUST,7
RXL,RMC,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,BOLTON NHS FOUNDATION TRUST,2
RNS,RBK,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,WALSALL HEALTHCARE NHS TRUST,3
RGP,RNS,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1
RP5,RBD,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1
RWY,RHQ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,345
RVR,RYJ,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,6
R1H,RKB,BARTS HEALTH NHS TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2
RBN,RXN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,3
RFF,RFR,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,THE ROTHERHAM NHS FOUNDATION TRUST,5
RGN,RKB,NORTH WEST ANGLIA NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,12
RGT,RAP,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,15
RHM,RTG,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,1
RAX,RRK,KINGSTON HOSPITAL NHS TRUST,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4
RLQ,RWF,WYE VALLEY NHS TRUST,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1
RTE,RTH,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,OXFORD UNIVERSITY HOSPITALS NHS TRUST,167
